year,avgAnnualAnomaly
1850,"-0,23222221811819407"
1851,"-0,1402777777467337"
1852,"-0,16250000066227382"
1853,"-0,17888888815003964"
1854,"-0,16194444480869505"
1855,"-0,17749999918871456"
1856,"-0,3266666660913163"
1857,"-0,33944444596353507"
1858,"-0,27138888825558954"
1859,"-0,14388888743188646"
1860,"-0,3119444437325001"
1861,"-0,30972222414695555"
1862,"-0,3722222233708534"
1863,"-0,20083333236268824"
1864,"-0,27027777603103054"
1865,"-0,20999999954882595"
1866,"-0,17888889032312566"
1867,"-0,2488888864301973"
1868,"-0,2022222229796979"
1869,"-0,170277777645323"
1870,"-0,23055555464492905"
1871,"-0,24555555529271564"
1872,"-0,241944442761855"
1873,"-0,24444444441340035"
1874,"-0,24111111110283268"
1875,"-0,26305555686768556"
1876,"-0,2694444450446301"
1877,"-0,021944443540026743"
1878,"0,009722221073591046"
1879,"-0,16777777832208407"
1880,"-0,2272222208687001"
1881,"-0,20027777842349476"
1882,"-0,19416666698331633"
1883,"-0,2977777755198379"
1884,"-0,39194444598009187"
1885,"-0,39444444194022155"
1886,"-0,30055555639167625"
1887,"-0,3619444475819667"
1888,"-0,24527777855594954"
1889,"-0,11944444529298279"
1890,"-0,3055555563833978"
1891,"-0,23527777624419993"
1892,"-0,30777777964249253"
1893,"-0,3824999990562598"
1894,"-0,256111109836234"
1895,"-0,23861110996868876"
1896,"-0,10444444542129834"
1897,"-0,10361111189963089"
1898,"-0,256111111284958"
1899,"-0,1927777778150307"
1900,"-0,11027777857250637"
1901,"-0,14444444447548854"
1902,"-0,25861111210866106"
1903,"-0,3172222210301293"
1904,"-0,432499998766515"
1905,"-0,2586111126260625"
1906,"-0,21361110938919914"
1907,"-0,3633333324558205"
1908,"-0,40111110938919914"
1909,"-0,43361110819710624"
1910,"-0,3922222228720784"
1911,"-0,42166666593402624"
1912,"-0,36527777690854335"
1913,"-0,33583333488139844"
1914,"-0,14305555711810788"
1915,"-0,10805555495123069"
1916,"-0,33249999831120175"
1917,"-0,4813888859417703"
1918,"-0,33027777743215364"
1919,"-0,257222223147336"
1920,"-0,2697222222470575"
1921,"-0,169444445003238"
1922,"-0,2525000006167425"
1923,"-0,24638888840046194"
1924,"-0,21749999969162875"
1925,"-0,19444444454792473"
1926,"-0,07833333287595047"
1927,"-0,18388888886612323"
1928,"-0,15083333373897606"
1929,"-0,3255555554707017"
1930,"-0,10222222211046351"
1931,"-0,046666666503167815"
1932,"-0,09861111004526417"
1933,"-0,26083333272900844"
1934,"-0,07805555712224709"
1935,"-0,14444444483766952"
1936,"-0,11000000007657541"
1937,"0,03027777761841814"
1938,"0,06527777823309104"
1939,"0,02972222336878379"
1940,"0,15722222264028257"
1941,"0,1980555566648642"
1942,"0,08333333333333333"
1943,"0,11194444406363699"
1944,"0,2394444435938365"
1945,"0,10972222277066773"
1946,"-0,03388888854533434"
1947,"0,016666666138917208"
1948,"-0,046388888369417854"
1949,"-0,05333333333126373"
1950,"-0,13749999894450107"
1951,"-0,01138888941042953"
1952,"0,04416666650730702"
1953,"0,1563888881355524"
1954,"-0,05166666696055068"
1955,"-0,1308333321681453"
1956,"-0,20055555614332357"
1957,"0,043055555472771324"
1958,"0,07083333319880897"
1959,"0,07361111169060071"
1960,"0,011944443349623017"
1961,"0,05972222161168853"
1962,"0,04666666738275024"
1963,"0,08222222219531734"
1964,"-0,17805555654275748"
1965,"-0,07416666733721893"
1966,"-0,040833333507180214"
1967,"0,01833333106090625"
1968,"-0,09222222233398093"
1969,"0,05416666700815161"
1970,"0,045277776662260294"
1971,"-0,05027777789574531"
1972,"-0,011944444487906165"
1973,"0,21694444492459297"
1974,"-0,06527777844005161"
1975,"0,02638888804035054"
1976,"-0,057222222133229174"
1977,"0,2086111107427213"
1978,"0,1041666671840681"
1979,"0,20333333406597376"
1980,"0,29305555588669246"
1981,"0,3927777773804135"
1982,"0,16750000096443626"
1983,"0,3583333349476258"
1984,"0,18916666657767361"
1985,"0,1608333331015375"
1986,"0,21166666778218415"
1987,"0,32027777910439503"
1988,"0,45111111137602067"
1989,"0,3033333375739555"
1990,"0,4794444474909041"
1991,"0,4530555531382561"
1992,"0,22666666889563203"
1993,"0,2730555546780427"
1994,"0,33361110867311555"
1995,"0,537777778175142"
1996,"0,37500000020696056"
1997,"0,5147222197718091"
1998,"0,6761111037598716"
1999,"0,4627777789202001"
2000,"0,4680555582874351"
2001,"0,597777778075801"
2002,"0,6805555580390824"
2003,"0,6863888907763693"
2004,"0,5750000024110906"
2005,"0,7966666685210334"
2006,"0,7369444428218735"
2007,"0,7619444421595998"
2008,"0,6152777738041348"
2009,"0,7219444438815117"
2010,"0,8186111077666283"
2011,"0,7183333353863822"
2012,"0,7383333361811109"
2013,"0,7561111077666283"
2014,"0,8361111068063312"
2015,"0,9983333332671059"
2016,"1,1436111099190183"
2017,"1,0516666736867692"
2018,"0,9433333261145486"
2019,"1,0727777861886554"
2020,"1,1275000009271834"
2021,"0,9530555622445213"
2022,"1,0022222300370534"
2023,"1,1195238204229445"
